time_seconds solved_percent
0.01 0.000000
0.02 0.186916
0.021 0.747664
0.022 1.308411
0.023 1.869159
0.024 2.242991
0.025 2.803738
0.026 4.672897
0.027 7.102804
0.028 9.345794
0.029 12.336449
0.03 14.766355
0.031 16.635514
0.032 18.504673
0.033 20.000000
0.034 21.121495
0.035 22.429907
0.036 24.485981
0.037 25.794393
0.038 26.168224
0.039 26.355140
0.04 26.542056
0.041 27.289720
0.042 27.476636
0.043 28.224299
0.044 28.411215
0.045 28.598131
0.046 28.971963
0.047 29.532710
0.048 30.280374
0.049 30.841121
0.05 31.588785
0.051 31.775701
0.052 32.336449
0.054 32.523364
0.055 32.897196
0.056 33.271028
0.058 33.831776
0.06 34.018692
0.061 34.392523
0.062 34.953271
0.063 35.327103
0.064 36.074766
0.065 36.822430
0.066 37.009346
0.068 37.757009
0.069 38.130841
0.071 38.504673
0.072 39.065421
0.074 39.252336
0.075 39.813084
0.076 40.000000
0.077 40.186916
0.078 40.373832
0.079 40.560748
0.08 40.747664
0.081 40.934579
0.082 41.308411
0.083 41.495327
0.085 41.682243
0.086 41.869159
0.088 42.056075
0.089 42.429907
0.09 42.616822
0.091 42.990654
0.092 43.177570
0.093 43.738318
0.094 44.299065
0.097 44.485981
0.099 44.672897
0.107 44.859813
0.109 45.046729
0.113 45.420561
0.114 45.607477
0.115 45.794393
0.139 45.981308
0.144 46.168224
0.145 46.355140
0.146 46.542056
0.147 46.915888
0.148 47.102804
0.149 47.663551
0.152 47.850467
0.154 48.411215
0.155 48.598131
0.157 49.158879
0.165 49.345794
0.181 49.532710
0.186 49.719626
0.188 49.906542
0.198 50.093458
0.199 50.280374
0.202 50.467290
0.21 50.654206
0.238 50.841121
0.241 51.028037
0.287 51.214953
0.295 51.401869
0.305 51.588785
0.307 51.775701
0.309 51.962617
0.326 52.149533
0.334 52.523364
0.353 52.710280
0.361 52.897196
0.367 53.084112
0.37 53.271028
0.375 53.457944
0.378 53.644860
0.381 53.831776
0.389 54.018692
0.411 54.205607
0.497 54.392523
0.502 54.579439
0.512 54.766355
0.517 54.953271
0.53 55.140187
0.679 55.327103
0.692 55.514019
0.706 55.700935
0.708 55.887850
0.711 56.074766
0.82 56.261682
0.835 56.448598
0.845 56.635514
0.857 56.822430
0.88 57.009346
1.033 57.196262
1.037 57.383178
1.048 57.570093
1.063 57.757009
1.07 57.943925
1.078 58.130841
1.09 58.317757
1.099 58.504673
1.112 58.691589
1.113 58.878505
1.115 59.252336
1.123 59.439252
1.131 59.626168
1.139 59.813084
1.145 60.000000
1.175 60.186916
1.181 60.373832
1.194 60.560748
1.321 60.747664
1.345 60.934579
1.431 61.121495
1.473 61.308411
1.474 61.495327
1.477 61.682243
1.486 61.869159
1.548 62.056075
1.561 62.242991
1.566 62.429907
1.568 62.616822
1.595 62.803738
1.624 62.990654
1.627 63.177570
1.644 63.364486
1.693 63.551402
1.738 63.738318
1.876 63.925234
2.091 64.112150
2.149 64.299065
2.589 64.485981
3.242 64.672897
3.253 64.859813
3.424 65.046729
3.569 65.233645
3.572 65.420561
3.701 65.607477
4.031 65.794393
4.345 65.981308
4.39 66.168224
4.406 66.355140
4.428 66.542056
4.603 66.728972
4.627 66.915888
4.658 67.102804
5.176 67.289720
5.273 67.476636
5.491 67.663551
5.599 67.850467
6.514 68.037383
6.914 68.224299
6.957 68.411215
10.286 68.598131
13.066 68.785047
13.082 68.971963
13.874 69.158879
14.601 69.345794
15.983 69.532710
16.204 69.719626
16.504 69.906542
16.575 70.093458
16.852 70.280374
17.298 70.467290
17.464 70.654206
17.555 70.841121
17.723 71.028037
17.966 71.214953
18.455 71.401869
18.719 71.588785
18.795 71.775701
18.95 71.962617
18.983 72.149533
18.989 72.336449
19.138 72.523364
19.322 72.710280
19.547 72.897196
19.655 73.084112
19.743 73.271028
20.305 73.457944
21.084 73.644860
21.783 73.831776
22.422 74.018692
23.029 74.205607
23.304 74.392523
23.565 74.579439
24.771 74.766355
25.055 74.953271
25.472 75.140187
26.243 75.327103
26.537 75.514019
27.558 75.700935
27.84 75.887850
28.124 76.074766
30.535 76.261682
30.644 76.448598
30.682 76.635514
30.77 76.822430
30.854 77.009346
32.654 77.196262
35.035 77.383178
37.123 77.570093
37.22 77.757009
39.079 77.943925
41.9 78.130841
42.557 78.317757
43.134 78.504673
43.977 78.691589
44.307 78.878505
44.342 79.065421
44.705 79.252336
46.957 79.439252
49.013 79.626168
50.046 79.813084
57.128 80.000000
61.643 80.186916
61.912 80.373832
63.385 80.560748
63.462 80.747664
76.918 80.934579
79.63 81.121495
81.21 81.308411
121.962 81.495327
122.48 81.682243
132.635 81.869159
133.105 82.056075
134.883 82.242991
141.794 82.429907
173.546 82.616822
229.846 82.803738
232.281 82.990654
253.853 83.177570
281.846 83.364486
287.802 83.551402
294.323 83.738318
315.256 83.925234
321.538 84.112150
396.47 84.299065
441.568 84.485981
559.456 84.672897
600 84.672897
